peak,n,d,condition,epoch,loglik
FALSE,10,2,winsfs_b500_w100,76,-13315960
FALSE,10,2,winsfs_b500_w100,77,-13316186
FALSE,10,2,winsfs_b500_w100,78,-13316411
FALSE,10,2,winsfs_b500_w100,79,-13316638
FALSE,10,2,winsfs_b500_w100,80,-13316865
FALSE,10,2,winsfs_b500_w100,81,-13317092
FALSE,10,2,winsfs_b500_w100,82,-13317320
FALSE,10,2,winsfs_b500_w100,83,-13317548
FALSE,10,2,winsfs_b500_w100,84,-13317777
FALSE,10,2,winsfs_b500_w100,85,-13318006
FALSE,10,2,winsfs_b500_w100,86,-13318235
FALSE,10,2,winsfs_b500_w100,87,-13318465
FALSE,10,2,winsfs_b500_w100,88,-13318696
FALSE,10,2,winsfs_b500_w100,89,-13318927
FALSE,10,2,winsfs_b500_w100,90,-13319158
FALSE,10,2,winsfs_b500_w100,91,-13319390
FALSE,10,2,winsfs_b500_w100,92,-13319622
FALSE,10,2,winsfs_b500_w100,93,-13319855
FALSE,10,2,winsfs_b500_w100,94,-13320088
FALSE,10,2,winsfs_b500_w100,95,-13320322
FALSE,10,2,winsfs_b500_w100,96,-13320556
FALSE,10,2,winsfs_b500_w100,97,-13320790
FALSE,10,2,winsfs_b500_w100,98,-13321025
FALSE,10,2,winsfs_b500_w100,99,-13321260
FALSE,10,2,winsfs_b500_w100,100,-13321496
FALSE,10,2,winsfs_b500_w250,1,-16712367
FALSE,10,2,winsfs_b500_w250,2,-14055032
FALSE,10,2,winsfs_b500_w250,3,-13508078
FALSE,10,2,winsfs_b500_w250,4,-13375172
FALSE,10,2,winsfs_b500_w250,5,-13335187
FALSE,10,2,winsfs_b500_w250,6,-13319853
FALSE,10,2,winsfs_b500_w250,7,-13312686
FALSE,10,2,winsfs_b500_w250,8,-13308845
FALSE,10,2,winsfs_b500_w250,9,-13306590
FALSE,10,2,winsfs_b500_w250,10,-13305182
FALSE,10,2,winsfs_b500_w250,11,-13304266
FALSE,10,2,winsfs_b500_w250,12,-13303652
FALSE,10,2,winsfs_b500_w250,13,-13303231
FALSE,10,2,winsfs_b500_w250,14,-13302941
FALSE,10,2,winsfs_b500_w250,15,-13302739
FALSE,10,2,winsfs_b500_w250,16,-13302601
FALSE,10,2,winsfs_b500_w250,17,-13302508
FALSE,10,2,winsfs_b500_w250,18,-13302449
FALSE,10,2,winsfs_b500_w250,19,-13302415
FALSE,10,2,winsfs_b500_w250,20,-13302400
FALSE,10,2,winsfs_b500_w250,21,-13302401
FALSE,10,2,winsfs_b500_w250,22,-13302413
FALSE,10,2,winsfs_b500_w250,23,-13302435
FALSE,10,2,winsfs_b500_w250,24,-13302464
FALSE,10,2,winsfs_b500_w250,25,-13302500
FALSE,10,2,winsfs_b500_w250,26,-13302540
FALSE,10,2,winsfs_b500_w250,27,-13302586
FALSE,10,2,winsfs_b500_w250,28,-13302635
FALSE,10,2,winsfs_b500_w250,29,-13302687
FALSE,10,2,winsfs_b500_w250,30,-13302742
FALSE,10,2,winsfs_b500_w250,31,-13302799
FALSE,10,2,winsfs_b500_w250,32,-13302858
FALSE,10,2,winsfs_b500_w250,33,-13302920
FALSE,10,2,winsfs_b500_w250,34,-13302982
FALSE,10,2,winsfs_b500_w250,35,-13303047
FALSE,10,2,winsfs_b500_w250,36,-13303112
FALSE,10,2,winsfs_b500_w250,37,-13303179
FALSE,10,2,winsfs_b500_w250,38,-13303247
FALSE,10,2,winsfs_b500_w250,39,-13303316
FALSE,10,2,winsfs_b500_w250,40,-13303386
FALSE,10,2,winsfs_b500_w250,41,-13303456
FALSE,10,2,winsfs_b500_w250,42,-13303527
FALSE,10,2,winsfs_b500_w250,43,-13303599
FALSE,10,2,winsfs_b500_w250,44,-13303672
FALSE,10,2,winsfs_b500_w250,45,-13303745
FALSE,10,2,winsfs_b500_w250,46,-13303819
FALSE,10,2,winsfs_b500_w250,47,-13303893
FALSE,10,2,winsfs_b500_w250,48,-13303968
FALSE,10,2,winsfs_b500_w250,49,-13304043
FALSE,10,2,winsfs_b500_w250,50,-13304118
FALSE,10,2,winsfs_b500_w250,51,-13304194
FALSE,10,2,winsfs_b500_w250,52,-13304271
FALSE,10,2,winsfs_b500_w250,53,-13304347
FALSE,10,2,winsfs_b500_w250,54,-13304424
FALSE,10,2,winsfs_b500_w250,55,-13304501
FALSE,10,2,winsfs_b500_w250,56,-13304579
FALSE,10,2,winsfs_b500_w250,57,-13304657
FALSE,10,2,winsfs_b500_w250,58,-13304735
FALSE,10,2,winsfs_b500_w250,59,-13304813
FALSE,10,2,winsfs_b500_w250,60,-13304892
FALSE,10,2,winsfs_b500_w250,61,-13304971
FALSE,10,2,winsfs_b500_w250,62,-13305050
FALSE,10,2,winsfs_b500_w250,63,-13305129
FALSE,10,2,winsfs_b500_w250,64,-13305208
FALSE,10,2,winsfs_b500_w250,65,-13305288
FALSE,10,2,winsfs_b500_w250,66,-13305368
FALSE,10,2,winsfs_b500_w250,67,-13305448
FALSE,10,2,winsfs_b500_w250,68,-13305528
FALSE,10,2,winsfs_b500_w250,69,-13305608
FALSE,10,2,winsfs_b500_w250,70,-13305689
FALSE,10,2,winsfs_b500_w250,71,-13305770
FALSE,10,2,winsfs_b500_w250,72,-13305850
FALSE,10,2,winsfs_b500_w250,73,-13305931
FALSE,10,2,winsfs_b500_w250,74,-13306013
FALSE,10,2,winsfs_b500_w250,75,-13306094
FALSE,10,2,winsfs_b500_w250,76,-13306175
FALSE,10,2,winsfs_b500_w250,77,-13306257
FALSE,10,2,winsfs_b500_w250,78,-13306338
FALSE,10,2,winsfs_b500_w250,79,-13306420
FALSE,10,2,winsfs_b500_w250,80,-13306502
FALSE,10,2,winsfs_b500_w250,81,-13306584
FALSE,10,2,winsfs_b500_w250,82,-13306666
FALSE,10,2,winsfs_b500_w250,83,-13306749
FALSE,10,2,winsfs_b500_w250,84,-13306831
FALSE,10,2,winsfs_b500_w250,85,-13306913
FALSE,10,2,winsfs_b500_w250,86,-13306996
FALSE,10,2,winsfs_b500_w250,87,-13307079
FALSE,10,2,winsfs_b500_w250,88,-13307162
FALSE,10,2,winsfs_b500_w250,89,-13307245
FALSE,10,2,winsfs_b500_w250,90,-13307328
FALSE,10,2,winsfs_b500_w250,91,-13307411
FALSE,10,2,winsfs_b500_w250,92,-13307494
FALSE,10,2,winsfs_b500_w250,93,-13307577
FALSE,10,2,winsfs_b500_w250,94,-13307661
FALSE,10,2,winsfs_b500_w250,95,-13307744
FALSE,10,2,winsfs_b500_w250,96,-13307828
FALSE,10,2,winsfs_b500_w250,97,-13307912
FALSE,10,2,winsfs_b500_w250,98,-13307996
FALSE,10,2,winsfs_b500_w250,99,-13308080
FALSE,10,2,winsfs_b500_w250,100,-13308164
FALSE,10,2,winsfs_b500_w500,1,-20528333
FALSE,10,2,winsfs_b500_w500,2,-15991675
FALSE,10,2,winsfs_b500_w500,3,-14549822
FALSE,10,2,winsfs_b500_w500,4,-13912386
FALSE,10,2,winsfs_b500_w500,5,-13616270
FALSE,10,2,winsfs_b500_w500,6,-13474089
FALSE,10,2,winsfs_b500_w500,7,-13402899
FALSE,10,2,winsfs_b500_w500,8,-13365280
FALSE,10,2,winsfs_b500_w500,9,-13344145
FALSE,10,2,winsfs_b500_w500,10,-13331510
FALSE,10,2,winsfs_b500_w500,11,-13323508
FALSE,10,2,winsfs_b500_w500,12,-13318179
FALSE,10,2,winsfs_b500_w500,13,-13314476
FALSE,10,2,winsfs_b500_w500,14,-13311812
FALSE,10,2,winsfs_b500_w500,15,-13309841
FALSE,10,2,winsfs_b500_w500,16,-13308348
FALSE,10,2,winsfs_b500_w500,17,-13307195
FALSE,10,2,winsfs_b500_w500,18,-13306291
FALSE,10,2,winsfs_b500_w500,19,-13305573
FALSE,10,2,winsfs_b500_w500,20,-13304996
FALSE,10,2,winsfs_b500_w500,21,-13304528
FALSE,10,2,winsfs_b500_w500,22,-13304146
FALSE,10,2,winsfs_b500_w500,23,-13303833
FALSE,10,2,winsfs_b500_w500,24,-13303574
FALSE,10,2,winsfs_b500_w500,25,-13303359
FALSE,10,2,winsfs_b500_w500,26,-13303180
FALSE,10,2,winsfs_b500_w500,27,-13303031
FALSE,10,2,winsfs_b500_w500,28,-13302907
FALSE,10,2,winsfs_b500_w500,29,-13302803
FALSE,10,2,winsfs_b500_w500,30,-13302717
FALSE,10,2,winsfs_b500_w500,31,-13302645
FALSE,10,2,winsfs_b500_w500,32,-13302586
FALSE,10,2,winsfs_b500_w500,33,-13302537
FALSE,10,2,winsfs_b500_w500,34,-13302498
FALSE,10,2,winsfs_b500_w500,35,-13302467
FALSE,10,2,winsfs_b500_w500,36,-13302442
FALSE,10,2,winsfs_b500_w500,37,-13302424
FALSE,10,2,winsfs_b500_w500,38,-13302411
FALSE,10,2,winsfs_b500_w500,39,-13302402
FALSE,10,2,winsfs_b500_w500,40,-13302398
FALSE,10,2,winsfs_b500_w500,41,-13302397
FALSE,10,2,winsfs_b500_w500,42,-13302399
FALSE,10,2,winsfs_b500_w500,43,-13302404
FALSE,10,2,winsfs_b500_w500,44,-13302412
FALSE,10,2,winsfs_b500_w500,45,-13302422
FALSE,10,2,winsfs_b500_w500,46,-13302434
FALSE,10,2,winsfs_b500_w500,47,-13302448
FALSE,10,2,winsfs_b500_w500,48,-13302464
FALSE,10,2,winsfs_b500_w500,49,-13302481
FALSE,10,2,winsfs_b500_w500,50,-13302499
FALSE,10,2,winsfs_b500_w500,51,-13302519
FALSE,10,2,winsfs_b500_w500,52,-13302540
FALSE,10,2,winsfs_b500_w500,53,-13302562
FALSE,10,2,winsfs_b500_w500,54,-13302586
FALSE,10,2,winsfs_b500_w500,55,-13302610
FALSE,10,2,winsfs_b500_w500,56,-13302635
FALSE,10,2,winsfs_b500_w500,57,-13302660
FALSE,10,2,winsfs_b500_w500,58,-13302687
FALSE,10,2,winsfs_b500_w500,59,-13302714
FALSE,10,2,winsfs_b500_w500,60,-13302742
FALSE,10,2,winsfs_b500_w500,61,-13302770
FALSE,10,2,winsfs_b500_w500,62,-13302799
FALSE,10,2,winsfs_b500_w500,63,-13302828
FALSE,10,2,winsfs_b500_w500,64,-13302858
FALSE,10,2,winsfs_b500_w500,65,-13302889
FALSE,10,2,winsfs_b500_w500,66,-13302920
FALSE,10,2,winsfs_b500_w500,67,-13302951
FALSE,10,2,winsfs_b500_w500,68,-13302982
FALSE,10,2,winsfs_b500_w500,69,-13303014
FALSE,10,2,winsfs_b500_w500,70,-13303047
FALSE,10,2,winsfs_b500_w500,71,-13303079
FALSE,10,2,winsfs_b500_w500,72,-13303112
FALSE,10,2,winsfs_b500_w500,73,-13303146
FALSE,10,2,winsfs_b500_w500,74,-13303179
FALSE,10,2,winsfs_b500_w500,75,-13303213
FALSE,10,2,winsfs_b500_w500,76,-13303247
FALSE,10,2,winsfs_b500_w500,77,-13303281
FALSE,10,2,winsfs_b500_w500,78,-13303316
FALSE,10,2,winsfs_b500_w500,79,-13303351
FALSE,10,2,winsfs_b500_w500,80,-13303386
FALSE,10,2,winsfs_b500_w500,81,-13303421
FALSE,10,2,winsfs_b500_w500,82,-13303456
FALSE,10,2,winsfs_b500_w500,83,-13303492
FALSE,10,2,winsfs_b500_w500,84,-13303528
FALSE,10,2,winsfs_b500_w500,85,-13303564
FALSE,10,2,winsfs_b500_w500,86,-13303600
FALSE,10,2,winsfs_b500_w500,87,-13303636
FALSE,10,2,winsfs_b500_w500,88,-13303672
FALSE,10,2,winsfs_b500_w500,89,-13303709
FALSE,10,2,winsfs_b500_w500,90,-13303746
FALSE,10,2,winsfs_b500_w500,91,-13303782
FALSE,10,2,winsfs_b500_w500,92,-13303819
FALSE,10,2,winsfs_b500_w500,93,-13303856
FALSE,10,2,winsfs_b500_w500,94,-13303894
FALSE,10,2,winsfs_b500_w500,95,-13303931
FALSE,10,2,winsfs_b500_w500,96,-13303969
FALSE,10,2,winsfs_b500_w500,97,-13304006
FALSE,10,2,winsfs_b500_w500,98,-13304044
FALSE,10,2,winsfs_b500_w500,99,-13304082
FALSE,10,2,winsfs_b500_w500,100,-13304119
FALSE,10,4,realsfs,3,-90218260
FALSE,10,4,realsfs,6,-13618419
FALSE,10,4,realsfs,9,-13394106
FALSE,10,4,realsfs,12,-13363719
FALSE,10,4,realsfs,15,-13338601
FALSE,10,4,realsfs,18,-13319564
FALSE,10,4,realsfs,21,-13318739
FALSE,10,4,realsfs,24,-13315800
FALSE,10,4,realsfs,27,-13315251
FALSE,10,4,realsfs,30,-13314113
FALSE,10,4,realsfs,33,-13313938
FALSE,10,4,realsfs,36,-13312946
FALSE,10,4,realsfs,39,-13312816
FALSE,10,4,realsfs,42,-13312492
FALSE,10,4,realsfs,45,-13312436
FALSE,10,4,realsfs,48,-13312260
FALSE,10,4,realsfs,51,-13312268
FALSE,10,4,realsfs,54,-13312296
FALSE,10,4,realsfs,57,-13312355
FALSE,10,4,realsfs,60,-13312378
FALSE,10,4,realsfs,63,-13312491
FALSE,10,4,realsfs,66,-13312513
FALSE,10,4,realsfs,69,-13313647
FALSE,10,4,realsfs,72,-13313676
FALSE,10,4,realsfs,75,-13313896
FALSE,10,4,realsfs,78,-13313945
FALSE,10,4,realsfs,81,-13315053
FALSE,10,4,realsfs,84,-13315100
FALSE,10,4,realsfs,87,-13315189
FALSE,10,4,realsfs,90,-13315280
