method,n,n1,n2,m,t,log_likelihood
realsfs,31755.590406113028,36039.36578814944,9279.592070075363,2.277298011822481e-05,157738.77860375625,-121188.2344435472
winsfs,31763.242725701177,36123.58638851629,9305.683987741573,2.263647841470278e-05,157456.93601329817,-75085.38487709659
