condition,epoch,i,x
realsfs,27,15,83842.387194
realsfs,27,16,84853.798268
realsfs,27,17,92577.706043
realsfs,27,18,104030.199894
realsfs,27,19,135944.764807
realsfs,27,20,14733911.538177
realsfs,30,0,1153743662.826211
realsfs,30,1,1485090.353289
realsfs,30,2,790492.296364
realsfs,30,3,508137.350065
realsfs,30,4,353739.902558
realsfs,30,5,269670.228391
realsfs,30,6,215712.559672
realsfs,30,7,171854.374523
realsfs,30,8,150440.336239
realsfs,30,9,122888.922052
realsfs,30,10,128596.690985
realsfs,30,11,95326.022673
realsfs,30,12,97460.233256
realsfs,30,13,87004.771818
realsfs,30,14,85783.931602
realsfs,30,15,83842.977077
realsfs,30,16,84852.726431
realsfs,30,17,92581.507471
realsfs,30,18,104029.766672
realsfs,30,19,135942.75152
realsfs,30,20,14733912.471131
realsfs,33,0,1153743661.929613
realsfs,33,1,1485091.638329
realsfs,33,2,790491.827172
realsfs,33,3,508137.771575
realsfs,33,4,353738.012364
realsfs,33,5,269674.787137
realsfs,33,6,215705.903381
realsfs,33,7,171861.316658
realsfs,33,8,150436.27639
realsfs,33,9,122888.953746
realsfs,33,10,128598.12923400001
realsfs,33,11,95326.953242
realsfs,33,12,97454.033921
realsfs,33,13,87013.829941
realsfs,33,14,85776.049552
realsfs,33,15,83848.138366
realsfs,33,16,84850.420724
realsfs,33,17,92582.050584
realsfs,33,18,104029.80719
realsfs,33,19,135942.761269
realsfs,33,20,14733912.409611
realsfs,36,0,1153743662.975237
realsfs,36,1,1485090.191844
realsfs,36,2,790492.069819
realsfs,36,3,508138.315128
realsfs,36,4,353737.64266
realsfs,36,5,269674.569048
realsfs,36,6,215705.856982
realsfs,36,7,171861.530181
realsfs,36,8,150436.046746
realsfs,36,9,122889.041529
realsfs,36,10,128598.06974
realsfs,36,11,95327.504852
realsfs,36,12,97453.922245
realsfs,36,13,87014.063966
realsfs,36,14,85775.539032
realsfs,36,15,83848.075177
realsfs,36,16,84850.520197
realsfs,36,17,92582.255184
realsfs,36,18,104029.539249
realsfs,36,19,135942.796088
realsfs,36,20,14733912.475097
realsfs,39,0,1153743662.940001
realsfs,39,1,1485090.247239
realsfs,39,2,790492.007166
realsfs,39,3,508138.390186
realsfs,39,4,353737.584183
realsfs,39,5,269674.682987
realsfs,39,6,215705.644781
realsfs,39,7,171861.829843
realsfs,39,8,150435.679606
realsfs,39,9,122889.470108
realsfs,39,10,128597.527373
realsfs,39,11,95328.198794
realsfs,39,12,97453.124005
realsfs,39,13,87014.756101
realsfs,39,14,85775.087397
realsfs,39,15,83848.329422
realsfs,39,16,84850.412416
realsfs,39,17,92582.265342
realsfs,39,18,104029.560478
realsfs,39,19,135942.792217
realsfs,39,20,14733912.470355
winsfs_b500_w100,1,0,1153741498.750732
winsfs_b500_w100,1,1,1485308.500747
winsfs_b500_w100,1,2,786195.451837
winsfs_b500_w100,1,3,509077.354211
winsfs_b500_w100,1,4,354613.766251
