condition,epoch,i,x
realsfs,22,10,78787.147274
realsfs,22,11,131006.06598
realsfs,22,12,42672.443169
realsfs,22,13,17743.039495
realsfs,22,14,121230.63928
realsfs,22,15,15653.801881
realsfs,22,16,65137.52951
realsfs,22,17,23826.585127
realsfs,22,18,72258.399867
realsfs,22,19,14972.911072
realsfs,22,20,42747.869846
realsfs,22,21,36219.062587
realsfs,22,22,25691.155834
realsfs,22,23,29202.50198
realsfs,22,24,27388.749948
realsfs,25,0,631693229.562687
realsfs,25,1,533604.765837
realsfs,25,2,421674.587606
realsfs,25,3,230089.298786
realsfs,25,4,288501.412685
realsfs,25,5,22156.808541
realsfs,25,6,228773.562993
realsfs,25,7,104456.804572
realsfs,25,8,91849.475757
realsfs,25,9,90117.304613
realsfs,25,10,76863.731225
realsfs,25,11,115220.161167
realsfs,25,12,49596.104542
realsfs,25,13,22299.51879
realsfs,25,14,117502.44034
realsfs,25,15,15207.344132
realsfs,25,16,67874.735884
realsfs,25,17,24195.278504
realsfs,25,18,67670.376881
realsfs,25,19,18692.97723
realsfs,25,20,45066.563346
realsfs,25,21,30981.721152
realsfs,25,22,28867.036711
realsfs,25,23,28211.592256
realsfs,25,24,27529.833764
realsfs,28,0,631698455.820034
realsfs,28,1,531767.568385
realsfs,28,2,418783.724456
realsfs,28,3,229309.451636
realsfs,28,4,285294.900491
realsfs,28,5,23966.296148
realsfs,28,6,229847.107525
realsfs,28,7,102812.124091
realsfs,28,8,93209.029488
realsfs,28,9,91923.899123
realsfs,28,10,76659.217283
realsfs,28,11,114416.279944
realsfs,28,12,50707.552325
realsfs,28,13,22844.835813
realsfs,28,14,116286.44338
realsfs,28,15,15063.518855
realsfs,28,16,67873.898776
realsfs,28,17,24202.209031
realsfs,28,18,66984.671511
realsfs,28,19,19007.586438
realsfs,28,20,45083.083015
realsfs,28,21,30945.129851
realsfs,28,22,29057.099312
realsfs,28,23,28238.048116
realsfs,28,24,27493.504972
realsfs,31,0,631697707.97931
realsfs,31,1,532414.993602
realsfs,31,2,417487.63317
realsfs,31,3,235416.404279
realsfs,31,4,271293.867684
realsfs,31,5,40737.21422
realsfs,31,6,228379.00957
realsfs,31,7,88300.246459
realsfs,31,8,99618.744294
realsfs,31,9,100670.928221
realsfs,31,10,71841.961214
realsfs,31,11,105372.07743
realsfs,31,12,58608.808296
realsfs,31,13,27181.3814
realsfs,31,14,109683.125457
realsfs,31,15,14640.221533
realsfs,31,16,70559.492191
realsfs,31,17,25061.894342
realsfs,31,18,63396.603541
realsfs,31,19,21679.998759
realsfs,31,20,44621.432837
realsfs,31,21,30432.135831
realsfs,31,22,29507.641904
realsfs,31,23,28182.866539
realsfs,31,24,27436.337916
realsfs,34,0,631698310.205666
realsfs,34,1,532021.244057
realsfs,34,2,417224.102
realsfs,34,3,236253.954126
realsfs,34,4,268236.507236
realsfs,34,5,44714.29884
realsfs,34,6,226985.901858
realsfs,34,7,86703.014357
realsfs,34,8,100869.531305
realsfs,34,9,101732.105501
realsfs,34,10,71003.080398
realsfs,34,11,103988.796729
realsfs,34,12,59895.129626
realsfs,34,13,27890.876137
realsfs,34,14,108558.113169
realsfs,34,15,14631.965475
realsfs,34,16,71038.238761
realsfs,34,17,25198.692566
realsfs,34,18,62838.01129
realsfs,34,19,22190.010825
realsfs,34,20,44423.68111
realsfs,34,21,30423.33133
realsfs,34,22,29483.746775
realsfs,34,23,28122.281625
realsfs,34,24,27496.179242
realsfs,37,0,631697190.430092
realsfs,37,1,532371.852645
realsfs,37,2,417253.258071
realsfs,37,3,239462.247854
realsfs,37,4,260274.199728
realsfs,37,5,56526.798932
realsfs,37,6,221523.01872
realsfs,37,7,82756.852343
realsfs,37,8,104171.442143
realsfs,37,9,104237.250776
realsfs,37,10,68866.974503
