method,n,n1a,n2a,n1b,n2b,m12,m21,t1,t2,log_likelihood
realsfs,31975.04407252797,319175.96778632415,3932.89127548145,8392.43496935535,6018.469752399432,3.809457763525622e-06,6.965953169561473e-05,67258.4767445751,7277.631430372312,-61635.526975615576
winsfs,31913.162754014174,313112.8424084457,4110.420668802569,11998.018482707144,6414.985333827072,5.405216037290226e-06,6.186079055090896e-05,66322.40185441295,11033.878186863447,-16682.658880109164
