peak,n,d,condition,epoch,loglik,change
FALSE,10,2,winsfs_b500_w250,35,97.554,1.1764e-6
FALSE,10,2,winsfs_b500_w250,36,97.554,1.1181e-6
FALSE,10,2,winsfs_b500_w250,37,97.554,1.0666e-6
FALSE,10,2,winsfs_b500_w250,38,97.554,1.0209e-6
FALSE,10,2,winsfs_b500_w250,39,97.554,9.799e-7
FALSE,10,2,winsfs_b500_w250,40,97.554,9.4298e-7
FALSE,10,2,winsfs_b500_w250,41,97.554,9.0951e-7
FALSE,10,2,winsfs_b500_w250,42,97.554,8.79e-7
FALSE,10,2,winsfs_b500_w250,43,97.554,8.5104e-7
FALSE,10,2,winsfs_b500_w250,44,97.554,8.253e-7
FALSE,10,2,winsfs_b500_w250,45,97.554,8.015e-7
FALSE,10,2,winsfs_b500_w250,46,97.554,7.794e-7
FALSE,10,2,winsfs_b500_w250,47,97.554,7.5881e-7
FALSE,10,2,winsfs_b500_w250,48,97.554,7.3956e-7
FALSE,10,2,winsfs_b500_w250,49,97.554,7.2151e-7
FALSE,10,2,winsfs_b500_w250,50,97.554,7.2151e-7
FALSE,10,2,winsfs_b500_w500,2,100.23,13.41
FALSE,10,2,winsfs_b500_w500,3,98.585,1.6447
FALSE,10,2,winsfs_b500_w500,4,97.984,0.60064
FALSE,10,2,winsfs_b500_w500,5,97.741,0.24302
FALSE,10,2,winsfs_b500_w500,6,97.639,0.10211
FALSE,10,2,winsfs_b500_w500,7,97.595,0.044169
FALSE,10,2,winsfs_b500_w500,8,97.575,0.019864
FALSE,10,2,winsfs_b500_w500,9,97.566,0.0094151
FALSE,10,2,winsfs_b500_w500,10,97.561,0.0047484
FALSE,10,2,winsfs_b500_w500,11,97.558,0.0025571
FALSE,10,2,winsfs_b500_w500,12,97.557,0.0014677
FALSE,10,2,winsfs_b500_w500,13,97.556,8.9302e-4
FALSE,10,2,winsfs_b500_w500,14,97.555,5.7199e-4
FALSE,10,2,winsfs_b500_w500,15,97.555,3.8284e-4
FALSE,10,2,winsfs_b500_w500,16,97.555,2.6592e-4
FALSE,10,2,winsfs_b500_w500,17,97.555,1.9056e-4
FALSE,10,2,winsfs_b500_w500,18,97.555,1.4018e-4
FALSE,10,2,winsfs_b500_w500,19,97.554,1.0542e-4
FALSE,10,2,winsfs_b500_w500,20,97.554,8.0796e-5
FALSE,10,2,winsfs_b500_w500,21,97.554,6.2937e-5
FALSE,10,2,winsfs_b500_w500,22,97.554,4.9725e-5
FALSE,10,2,winsfs_b500_w500,23,97.554,3.978e-5
FALSE,10,2,winsfs_b500_w500,24,97.554,3.218e-5
FALSE,10,2,winsfs_b500_w500,25,97.554,2.6294e-5
FALSE,10,2,winsfs_b500_w500,26,97.554,2.1682e-5
FALSE,10,2,winsfs_b500_w500,27,97.554,1.8031e-5
FALSE,10,2,winsfs_b500_w500,28,97.554,1.5112e-5
FALSE,10,2,winsfs_b500_w500,29,97.554,1.2758e-5
FALSE,10,2,winsfs_b500_w500,30,97.554,1.0847e-5
FALSE,10,2,winsfs_b500_w500,31,97.554,9.2821e-6
FALSE,10,2,winsfs_b500_w500,32,97.554,7.9934e-6
FALSE,10,2,winsfs_b500_w500,33,97.554,6.9252e-6
FALSE,10,2,winsfs_b500_w500,34,97.554,6.0349e-6
FALSE,10,2,winsfs_b500_w500,35,97.554,5.2886e-6
FALSE,10,2,winsfs_b500_w500,36,97.554,4.6599e-6
FALSE,10,2,winsfs_b500_w500,37,97.554,4.1278e-6
FALSE,10,2,winsfs_b500_w500,38,97.554,3.6752e-6
FALSE,10,2,winsfs_b500_w500,39,97.554,3.2886e-6
FALSE,10,2,winsfs_b500_w500,40,97.554,2.957e-6
FALSE,10,2,winsfs_b500_w500,41,97.554,2.6713e-6
FALSE,10,2,winsfs_b500_w500,42,97.554,2.4244e-6
FALSE,10,2,winsfs_b500_w500,43,97.554,2.2101e-6
FALSE,10,2,winsfs_b500_w500,44,97.554,2.0234e-6
FALSE,10,2,winsfs_b500_w500,45,97.554,1.8602e-6
FALSE,10,2,winsfs_b500_w500,46,97.554,1.717e-6
FALSE,10,2,winsfs_b500_w500,47,97.554,1.591e-6
FALSE,10,2,winsfs_b500_w500,48,97.554,1.4797e-6
FALSE,10,2,winsfs_b500_w500,49,97.554,1.3811e-6
FALSE,10,2,winsfs_b500_w500,50,97.554,1.3811e-6
FALSE,10,4,winsfs_b500_w100,2,94.659,7.8658
FALSE,10,4,winsfs_b500_w100,3,94.658,1.4008e-4
FALSE,10,4,winsfs_b500_w100,4,94.658,2.854e-5
FALSE,10,4,winsfs_b500_w100,5,94.658,1.7523e-5
FALSE,10,4,winsfs_b500_w100,6,94.658,1.1885e-5
FALSE,10,4,winsfs_b500_w100,7,94.658,8.6022e-6
FALSE,10,4,winsfs_b500_w100,8,94.658,6.543e-6
FALSE,10,4,winsfs_b500_w100,9,94.658,5.1717e-6
FALSE,10,4,winsfs_b500_w100,10,94.658,4.2125e-6
FALSE,10,4,winsfs_b500_w100,11,94.658,3.5139e-6
FALSE,10,4,winsfs_b500_w100,12,94.658,2.988e-6
FALSE,10,4,winsfs_b500_w100,13,94.658,2.5811e-6
FALSE,10,4,winsfs_b500_w100,14,94.658,2.259e-6
FALSE,10,4,winsfs_b500_w100,15,94.658,1.9989e-6
FALSE,10,4,winsfs_b500_w100,16,94.658,1.7856e-6
FALSE,10,4,winsfs_b500_w100,17,94.658,1.608e-6
FALSE,10,4,winsfs_b500_w100,18,94.658,1.4582e-6
FALSE,10,4,winsfs_b500_w100,19,94.658,1.3306e-6
FALSE,10,4,winsfs_b500_w100,20,94.658,1.2208e-6
FALSE,10,4,winsfs_b500_w100,21,94.658,1.1255e-6
FALSE,10,4,winsfs_b500_w100,22,94.658,1.0421e-6
FALSE,10,4,winsfs_b500_w100,23,94.658,9.6856e-7
FALSE,10,4,winsfs_b500_w100,24,94.658,9.0337e-7
FALSE,10,4,winsfs_b500_w100,25,94.658,8.4522e-7
FALSE,10,4,winsfs_b500_w100,26,94.658,7.9308e-7
FALSE,10,4,winsfs_b500_w100,27,94.658,7.4609e-7
FALSE,10,4,winsfs_b500_w100,28,94.658,7.0357e-7
FALSE,10,4,winsfs_b500_w100,29,94.658,6.6493e-7
FALSE,10,4,winsfs_b500_w100,30,94.658,6.2969e-7
FALSE,10,4,winsfs_b500_w100,31,94.658,5.9743e-7
