method,n,n1,n2,m12,m21,t,log_likelihood
realsfs,31742.64060979063,42856.897217193415,6683.205694672529,7.6136715872891195e-06,4.290652395348868e-05,114424.59979719871,-85588.62711394495
winsfs,31744.313043780352,42899.36681879737,6712.69154413813,7.63782036479972e-06,4.2581749823118185e-05,115056.84635432846,-39651.31687829373
