method,model,j,i,residual
realsfs,first,13,1,22.48430197515455
realsfs,first,13,2,11.62126117647878
realsfs,first,13,3,-7.311740112458441
realsfs,first,13,4,29.3645465492547
realsfs,first,13,5,1.888288960214062
realsfs,first,13,6,19.07626290612484
realsfs,first,13,7,-17.80666014744424
realsfs,first,14,0,8.361000854151362
realsfs,first,14,1,44.47180344853066
realsfs,first,14,2,15.64998623559619
realsfs,first,14,3,40.41488582860335
realsfs,first,14,4,-5.664703795104141
realsfs,first,14,5,8.093246823149844
realsfs,first,14,6,-2.151396158470496
realsfs,first,15,0,-68.35847934652753
realsfs,first,15,1,1.960358027870716
realsfs,first,15,2,35.39111947183954
realsfs,first,15,3,-16.84322241781533
realsfs,first,15,4,13.16952084893151
realsfs,first,15,5,-21.83928792724856
realsfs,first,16,0,-48.30529434508606
realsfs,first,16,1,51.17887239132958
realsfs,first,16,2,5.103335301799691
realsfs,first,16,3,33.617223550570714
realsfs,first,16,4,-20.45688917134586
realsfs,first,17,0,-40.62697541133422
realsfs,first,17,1,-22.64979727751419
realsfs,first,17,2,24.51452712397553
realsfs,first,17,3,2.855827121967265
realsfs,first,18,0,-72.89785855318408
realsfs,first,18,1,22.05646422510999
realsfs,first,18,2,-5.76900638327386
realsfs,first,19,0,-58.07433416917791
realsfs,first,19,1,-3.4474447845963
realsfs,first,20,0,-44.30666878387844
winsfs,first,0,0,6735109.55149362
winsfs,first,0,1,32.12530030881872
winsfs,first,0,2,-169.2983624002979
winsfs,first,0,3,50.6251542171244
winsfs,first,0,4,77.90181364278564
winsfs,first,0,5,42.18113483624165
winsfs,first,0,6,54.66457706306387
winsfs,first,0,7,50.74580026526759
winsfs,first,0,8,31.62706131579073
winsfs,first,0,9,32.36241131326326
winsfs,first,0,10,31.93621005930894
winsfs,first,0,11,40.61834088983321
winsfs,first,0,12,27.10779314999321
winsfs,first,0,13,28.37294827744709
winsfs,first,0,14,24.56468471102798
winsfs,first,0,15,10.6131715679886
winsfs,first,0,16,-27.49142611752032
winsfs,first,1,0,73.2202479803351
winsfs,first,1,1,-54.66347573512868
winsfs,first,1,2,-69.61156664126162
winsfs,first,1,3,-34.82879988646511
winsfs,first,1,4,-27.46702930389717
winsfs,first,1,5,-27.46302643909847
winsfs,first,1,6,-26.99447547332323
winsfs,first,1,7,-23.2528715776526
winsfs,first,1,8,-29.98683572491798
winsfs,first,1,9,-13.2495190057142
winsfs,first,1,10,-16.80887167181301
winsfs,first,1,11,-10.33698961027125
winsfs,first,1,12,-6.761781090281845
winsfs,first,1,13,-9.538055994084068
winsfs,first,1,14,-7.359558757237274
winsfs,first,1,15,-14.81058128240328
winsfs,first,1,16,-60.82692449491124
winsfs,first,2,0,-26.56244681523889
winsfs,first,2,1,-35.34903466988376
winsfs,first,2,2,-18.16765902516856
winsfs,first,2,3,-13.35601814591961
winsfs,first,2,4,-14.70293114334713
winsfs,first,2,5,-13.64951919405074
winsfs,first,2,6,-13.24947835834839
winsfs,first,2,7,-14.71060141052129
winsfs,first,2,8,-16.15465979678068
winsfs,first,2,9,-9.386873051659935
winsfs,first,2,10,-15.7171029783229
winsfs,first,2,11,-12.05350718693846
winsfs,first,2,12,-8.640831017012426
winsfs,first,2,13,-9.33768746484442
winsfs,first,2,14,-6.5001861852863
winsfs,first,2,15,-11.06288941819754
winsfs,first,2,16,-65.65955725975833
winsfs,first,3,0,-8.706410252105064
winsfs,first,3,1,16.51536336580484
winsfs,first,3,2,6.128761330118636
winsfs,first,3,3,-1.439491631458384
winsfs,first,3,4,-4.478355022154156
winsfs,first,3,5,-6.705596656765806
winsfs,first,3,6,-11.45349385029174
winsfs,first,3,7,-13.74553268955686
winsfs,first,3,8,-13.16816140730503
winsfs,first,3,9,-13.77011547413102
winsfs,first,3,10,-13.34131576652052
winsfs,first,3,11,-9.705912311357851
winsfs,first,3,12,-8.473502947106697
winsfs,first,3,13,-8.29430253262813
winsfs,first,3,14,-7.531838113216181
winsfs,first,3,15,-5.020044406493421
winsfs,first,3,16,-56.07117705675429
winsfs,first,4,0,23.83929068667811
winsfs,first,4,1,45.35542487962437
winsfs,first,4,2,14.04336337838929
winsfs,first,4,3,-1.667518234444721
winsfs,first,4,4,-7.441949065227819
winsfs,first,4,5,-10.61310415758016
winsfs,first,4,6,-10.70617133962674
winsfs,first,4,7,-8.206990075968461
winsfs,first,4,8,-3.985931355453733
winsfs,first,4,9,-8.326239071081991
winsfs,first,4,10,-7.327637834424476
winsfs,first,4,11,-5.815249294941873
winsfs,first,4,12,-4.803966021431041
winsfs,first,4,13,-4.096951648670102
winsfs,first,4,14,-7.195588249191911
winsfs,first,4,15,-5.481072800831888
winsfs,first,4,16,-45.67532127016812
winsfs,first,5,0,17.26509391232305
winsfs,first,5,1,55.4363686450819
winsfs,first,5,2,20.23529673583395
winsfs,first,5,3,1.397943341543133
winsfs,first,5,4,-6.856067522601301
winsfs,first,5,5,-3.645342718231628
winsfs,first,5,6,-9.647415566343895
winsfs,first,5,7,-6.397029321108312
winsfs,first,5,8,-2.492636155487172
winsfs,first,5,9,-5.523240936423483
winsfs,first,5,10,-2.235624093205351
winsfs,first,5,11,-2.231922583248416
winsfs,first,5,12,0.4118685720926104
winsfs,first,5,13,5.104900123704484
winsfs,first,5,14,2.667227021096357
winsfs,first,5,15,0.4518411910559155
winsfs,first,6,0,3.298794837133846
winsfs,first,6,1,56.65077262902017
winsfs,first,6,2,26.15248638293565
winsfs,first,6,3,4.950288410426884
winsfs,first,6,4,-2.755924523420046
winsfs,first,6,5,-0.1959299876587551
winsfs,first,6,6,-3.56590039516539
winsfs,first,6,7,-1.370323114064722
winsfs,first,6,8,0.4362642769151766
winsfs,first,6,9,-2.623527584330887
winsfs,first,6,10,-5.359981316075086
winsfs,first,6,11,-4.278241398618308
winsfs,first,6,12,2.036557953642045
winsfs,first,6,13,7.130122523471265
winsfs,first,6,14,5.926301716104401
winsfs,first,7,0,-13.13788908956191
winsfs,first,7,1,53.93970833976383
winsfs,first,7,2,28.12972973217074
winsfs,first,7,3,6.17248608115812
winsfs,first,7,4,-1.541728386381881
winsfs,first,7,5,-1.951805014054334
winsfs,first,7,6,-2.191139416097742
winsfs,first,7,7,0.1415146679593705
winsfs,first,7,8,0.7949475173386961
winsfs,first,7,9,-1.81085732586307
winsfs,first,7,10,-4.882714302073278
winsfs,first,7,11,-1.766629463662963
winsfs,first,7,12,4.303800443133672
winsfs,first,7,13,5.867874332712137
winsfs,first,8,0,-10.71571796346711
winsfs,first,8,1,50.86232716185096
winsfs,first,8,2,23.65507051327292
winsfs,first,8,3,4.474167982555527
winsfs,first,8,4,-2.914438609800947
winsfs,first,8,5,-6.693063853895634
winsfs,first,8,6,-7.163984946503023
winsfs,first,8,7,-3.594276610394722
winsfs,first,8,8,-4.856412250992058
winsfs,first,8,9,-2.766922547296646
winsfs,first,8,10,-2.159677769732613
winsfs,first,8,11,1.354191164473063
winsfs,first,8,12,1.767894473143815
winsfs,first,9,0,-16.1727900920459
winsfs,first,9,1,45.19187659599296
winsfs,first,9,2,24.31504743998941
winsfs,first,9,3,7.593504199851658
winsfs,first,9,4,2.405588897639426
winsfs,first,9,5,-1.06026933483368
winsfs,first,9,6,-6.640106690807818
winsfs,first,9,7,-5.910473695237251
winsfs,first,9,8,-8.199339985821005
winsfs,first,9,9,-4.586051479095752
winsfs,first,9,10,-3.842424480652421
winsfs,first,9,11,0.5301666289903879
winsfs,first,10,0,-21.517307221146
winsfs,first,10,1,41.74524265991061
winsfs,first,10,2,22.70655045656557
winsfs,first,10,3,9.734023371948439
winsfs,first,10,4,9.6690035231427
winsfs,first,10,5,5.39761596286557
winsfs,first,10,6,-4.284601282368564
winsfs,first,10,7,-5.009703441464059
winsfs,first,10,8,-5.53705969809276
winsfs,first,10,9,-3.535036102885464
winsfs,first,10,10,-1.742186459353994
winsfs,first,11,0,-30.43635890446347
winsfs,first,11,1,38.60901371693061
winsfs,first,11,2,22.7749042778493
winsfs,first,11,3,12.26738274893283
winsfs,first,11,4,10.69890965083105
winsfs,first,11,5,4.572778054770228
winsfs,first,11,6,-0.5668773224208868
winsfs,first,11,7,-2.985205045258152
winsfs,first,11,8,-3.51174806760022
winsfs,first,11,9,-2.005282597471959
winsfs,first,12,0,-35.18414259540986
winsfs,first,12,1,34.08971651541389
winsfs,first,12,2,25.30148620333915
winsfs,first,12,3,14.42581815206182
winsfs,first,12,4,8.546639872793017
winsfs,first,12,5,2.650921828087334
winsfs,first,12,6,-0.2063418433311713
winsfs,first,12,7,-1.724678326873476
winsfs,first,12,8,-1.6624671971643
winsfs,first,13,0,-39.23710311753857
winsfs,first,13,1,28.46238077545291
winsfs,first,13,2,25.8947082363837
winsfs,first,13,3,13.3144091029401
winsfs,first,13,4,3.99156032767212
winsfs,first,13,5,2.79698431019171
winsfs,first,13,6,0.1716168504722017
winsfs,first,13,7,-2.005282597471959
winsfs,first,14,0,-38.16656672548951
winsfs,first,14,1,26.28726889936102
winsfs,first,14,2,24.04414459050021
winsfs,first,14,3,10.91734186939433
winsfs,first,14,4,-0.5967020606798532
winsfs,first,14,5,0.9069886248058993
winsfs,first,14,6,-1.742186459353994
winsfs,first,15,0,-43.84336834974842
winsfs,first,15,1,22.37371649458754
winsfs,first,15,2,21.19309556969928
winsfs,first,15,3,9.559673078827618
winsfs,first,15,4,0.9487714585937905
winsfs,first,15,5,0.5301666289903879
winsfs,first,16,0,-47.9514720564874
winsfs,first,16,1,15.54792595607087
winsfs,first,16,2,16.37920784212252
winsfs,first,16,3,7.464155526598288
winsfs,first,16,4,1.767894473143815
winsfs,first,17,0,-51.81328791447225
winsfs,first,17,1,7.244159294311285
winsfs,first,17,2,11.38171050053303
winsfs,first,17,3,5.867874332712137
winsfs,first,18,0,-60.04003498527038
winsfs,first,18,1,2.311939487978984
winsfs,first,18,2,5.926301716104401
winsfs,first,19,0,-63.3383600761469
winsfs,first,19,1,0.4518411910559039
winsfs,first,20,0,-45.67532127016811
